song_id	song_name	id_artists	name_artists	popularity	explicit	song_type	track_number	num_artists	num_available_markets	release_date	duration_ms	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo
0jqLv5PuEUA0GthFjdtlS1	Oodles O' Noodles Babies	['20sxb77xiYeusSH8cVdatc']	['Meek Mill']	56	True	Solo	13	1	78	2018-11-30	181274	4	0	4	0.593	0.609	0.836	0	0.466	-3.442	0.264	0.584	72.099
7cW1wHpSLYgKWzoWlOCPFJ	Global	['5f7VJjfbwm532GiveGC0ZK']	['Lil Baby']	61	True	Solo	1	1	79	2018-11-30	169826	1	1	4	0.106	0.672	0.565	0	0.113	-6.504	0.441	0.313	163.827
52i143Ph5c3RQaQFBXWix1	Word On The Street	['5f7VJjfbwm532GiveGC0ZK']	['Lil Baby']	59	True	Solo	6	1	79	2018-11-30	172986	10	0	4	0.0562	0.888	0.432	0	0.112	-9.275	0.0934	0.173	99.965
2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	['3TVXtAsR1Inumwj472S9r4']	['Drake']	82	True	Solo	9	1	79	2018-06-29	217925	1	1	4	0.0589	0.835	0.626	6e-05	0.396	-5.833	0.125	0.35	91.03
2Kpc6hdJqHCG2tt0JW9pyl	Lose It	['3oSJ7TBVCWMDMiYjXNiCKE']	['Kane Brown']	71	False	Solo	3	1	79	2019-07-12	178987	4	0	4	0.00245	0.544	0.854	1.2e-06	0.249	-4.968	0.0289	0.436	91.966
42fw0rxRO2xbesF6mJfd4Y	Tequila	['7z5WFjZAIYejWy0NI5lv4T']	['Dan + Shay']	74	False	Solo	2	1	78	2018-06-22	196747	11	1	4	0.0312	0.489	0.581	0	0.132	-5.731	0.0281	0.494	86.016
0TlLq3lA83rQOYtrqBqSct	Nonstop	['3TVXtAsR1Inumwj472S9r4']	['Drake']	82	True	Solo	2	1	79	2018-06-29	238614	7	1	4	0.0164	0.912	0.412	0.013	0.104	-8.074	0.124	0.422	154.983
0At2qAoaVjIwWNAqrscXli	Boo'd Up	['7HkdQ0gt53LP4zmHsL0nap']	['Ella Mai']	74	False	Solo	1	1	79	2017-02-22	256064	10	0	4	0.0862	0.561	0.779	0	0.078	-5.107	0.0531	0.235	81.965
5aXgz1oKK8Q9z9xvTmSnrO	Topanga	['6Xgp2XMz1fhVYe7i6yNAax']	['Trippie Redd']	76	True	Solo	1	1	79	2018-11-09	215364	4	1	4	0.00587	0.755	0.615	1.75e-06	0.109	-8.245	0.0454	0.039	105.955
7wC5eZcFS1Q1BsQ35DU6H4	come out and play	['6qqNVTkY8uBg9cP3Jd7DAH']	['Billie Eilish']	75	False	Solo	1	1	79	2018-11-20	210376	0	1	4	0.693	0.64	0.321	0.0307	0.114	-14.604	0.0931	0.177	145.045
04ZTP5KsCypmtCmQg5tH9R	I'm a Mess	['64M6ah0SkkRsnPGtGiRAbb']	['Bebe Rexha']	80	False	Solo	2	1	78	2018-06-22	195519	11	0	4	0.00281	0.63	0.694	0	0.0719	-6.257	0.0253	0.216	97.005
6CyJlVAEFlNdpggOLanytL	Hangin' On	['4BYxqVkZyFjtik7crYLg5Q']	['Chris Young']	66	False	Solo	2	1	79	2017-10-20	185440	8	1	4	0.0651	0.434	0.831	0	0.119	-4.774	0.0453	0.596	156.034
4H0vNUFcHPz5lytcLjwqkr	Rich	['6WY7D3jk8zTrHtmkqqo5GI']	['Maren Morris']	61	False	Solo	2	1	79	2017-03-17	208893	5	1	4	0.0445	0.565	0.855	0	0.32	-4.189	0.0557	0.852	74.98
2oPCR02nduYVpj7CTfsA0d	Blue Tacoma	['1E2AEtxaFaJtH0lO7kgNKw']	['Russell Dickerson']	72	False	Solo	3	1	79	2017-10-13	212067	9	1	4	0.0183	0.455	0.897	0	0.174	-4.879	0.0403	0.728	160.139
7hDVYcQq6MxkdJGweuCtl9	ocean eyes	['6qqNVTkY8uBg9cP3Jd7DAH']	['Billie Eilish']	82	False	Solo	7	1	79	2017-12-22	200379	4	0	4	0.816	0.511	0.363	0.0317	0.084	-7.65	0.041	0.169	144.892
7zLYKWcXnYeHHWidalz7rj	Noticed	['5zctI4wO9XSKS8XwcnqEHk']	['Lil Mosey']	81	True	Solo	3	1	79	2018-10-19	165000	11	1	4	0.462	0.699	0.558	0	0.116	-7.622	0.0603	0.493	79.992
1wjzFQodRWrPcQ0AnYnvQ9	I Like Me Better	['5JZ7CnR6gTvEMKX4g70Amv']	['Lauv']	82	False	Solo	1	1	78	2017-05-19	197437	9	1	4	0.535	0.752	0.505	2.55e-06	0.104	-7.621	0.253	0.419	91.97
3ee8Jmje8o58CHK66QrVC2	SAD!	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	85	True	Solo	4	1	79	2018-03-16	166606	8	1	4	0.258	0.74	0.613	0.00372	0.123	-4.88	0.145	0.473	75.023
3z8h0TU7ReDPLIbEnYhWZb	Bohemian Rhapsody	['1dfeR4HaWDbWqFHLkxsg1d']	['Queen']	72	False	Solo	7	1	77	2018-10-19	354947	0	0	4	0.287	0.39	0.397	0	0.207	-9.963	0.0513	0.246	144.031
1XJBDDpeuZaj5fvmwhdIMw	Take One	['46SHBwWsqBkxI7EeeBEQG7']	['Kodak Black']	59	True	Solo	6	1	78	2018-12-14	165517	1	1	4	0.114	0.66	0.615	0	0.315	-7.2	0.47	0.501	174.034
2VX37A1p7tkvrH2UJwAU0T	Desperate Man	['2IvkS5MXK0vPGnwyJsrEyV']	['Eric Church']	57	False	Solo	1	1	79	2018-07-13	208733	10	1	4	0.0716	0.711	0.796	0.0045	0.262	-5.87	0.0341	0.901	109.991
4u8Gkqyg87iGSW3hQbbnQZ	Burn the House Down	['6s22t5Y3prQHyaHWUN1R1C']	['AJR']	64	True	Solo	14	1	74	2018-09-21	212689	0	1	4	0.0364	0.454	0.66	0	0.181	-4.357	0.168	0.568	184.353
0AcicReEGm1qcENjqzh1Tg	Love Scars 3	['6Xgp2XMz1fhVYe7i6yNAax']	['Trippie Redd']	70	True	Solo	6	1	79	2018-11-09	129429	8	1	4	0.136	0.544	0.524	0	0.106	-7.914	0.0621	0.117	81.982
2RSHsoi04658QL5xgQVov3	Bad Liar	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	82	False	Solo	5	1	79	2018-11-09	260773	3	1	4	0.0722	0.383	0.637	0	0.368	-6.993	0.0703	0.0827	177.913
2rbDhOo9Fh61Bbu23T2qCk	Always Remember Us This Way	['1HY2Jd0NmPuamShAr6KMms']	['Lady Gaga']	80	False	Solo	9	1	79	2018-10-05	210200	0	1	4	0.299	0.553	0.502	0	0.764	-5.972	0.0409	0.296	129.976
1SxagO9GK0UUeEYLmH8Pln	Toxic Waste	['6Xgp2XMz1fhVYe7i6yNAax']	['Trippie Redd']	63	True	Solo	3	1	79	2018-11-09	173129	8	1	4	0.0555	0.728	0.517	1.95e-06	0.107	-11.404	0.0629	0.379	111.974
0OgGn1ofaj55l2PcihQQGV	Drew Barrymore	['1ShZZUjkbXCjhwrb18BA8I']	['Bryce Vine']	73	True	Solo	1	1	78	2017-12-01	190472	11	0	4	0.493	0.763	0.572	0.00118	0.106	-7.312	0.0595	0.25	151.93
514rhnksEwHUh6LxXsQ4Y9	Back To You	['0C8ZW7ezQVs4URX5aX7Kqx']	['Selena Gomez']	74	False	Solo	1	1	79	2018-05-18	210240	6	1	4	0.0984	0.6	0.683	1.26e-06	0.11	-6.271	0.0493	0.494	102.036
6NFyWDv5CjfwuzoCkw47Xf	Delicate	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	75	False	Solo	5	1	79	2017-11-10	232253	9	0	4	0.216	0.75	0.404	0.000357	0.0911	-10.178	0.0682	0.0499	95.045
1fvCggAYrW0VtCljtqv4h2	Last Memory	['3EW0kQ1skZiK1NHg3Spt9J']	['Takeoff']	62	True	Solo	5	1	79	2018-11-02	162133	1	0	4	0.175	0.854	0.708	0	0.241	-5.805	0.244	0.172	118.032
33471tzU1VghDg9zNgGRpz	Hotel Key	['6y8XlgIV8BLlIg1tT1R10i']	['Old Dominion']	68	False	Solo	4	1	79	2017-08-25	166573	11	1	4	0.152	0.758	0.867	0	0.308	-5.087	0.0475	0.964	102.018
1jo3TwNGCXfNdB5uba3ZVv	Killshot	['7dGJo4pcD2V6oG8kP0tJRR']	['Eminem']	76	True	Solo	1	1	79	2018-09-19	253580	0	0	4	0.0989	0.892	0.651	0	0.371	-8.645	0.378	0.599	105.814
1B4gJRq61xTs6r1O0Uq2iY	Casper	['3EW0kQ1skZiK1NHg3Spt9J']	['Takeoff']	72	True	Solo	8	1	79	2018-11-02	197079	1	1	4	0.525	0.921	0.607	1.12e-06	0.123	-7.397	0.209	0.753	140.071
7azo4rpSUh8nXgtonC6Pkq	Thriller	['3fMbdgg4jU18AjLCKBhRSm']	['Michael Jackson']	67	False	Solo	2	1	79	2017-09-27	358053	11	1	4	0.0816	0.764	0.887	0.000108	0.847	-3.725	0.0738	0.721	118.421
1kFBLqkTuNKlspkJ1EOGjN	Drunk Girl	['60gmlHZmT16wiO9GiXKYK9']	['Chris Janson']	66	False	Solo	12	1	78	2017-09-22	207267	0	1	4	0.794	0.485	0.306	0	0.122	-8.431	0.0409	0.224	203.729
0oagwWkGlBoACUuKvTmqZV	A Million Dreams	['1KCSPY1glIKqW2TotWuXOR']	['P!nk']	69	False	Solo	1	1	78	2018-10-24	273640	7	1	4	0.272	0.312	0.499	0	0.0901	-6.282	0.0397	0.191	148.173
0Fpen1PTuEnCmOJtUU9Iud	New Patek	['4O15NlyKLIASxsJ0PrXPfz']	['Lil Uzi Vert']	74	True	Solo	1	1	78	2018-09-18	343099	8	0	4	0.0367	0.85	0.785	0	0.155	-4.963	0.345	0.718	145.063
7uVkYr8gxcPEgqohvynpdN	Break Up in the End	['1mfDfLsMxYcOOZkzBxvSVW']	['Cole Swindell']	52	False	Solo	1	1	77	2018-02-23	199436	1	1	4	0.456	0.51	0.386	0	0.252	-8.391	0.0307	0.266	86.36
